"","SPECIES_NAME","REL_CU_NAME","REL_CU_INDEX","STOCK_NAME","RELEASE_SITE_NAME","FACILITY_NAME","RELEASE_STAGE_NAME","RELEASE_YEAR","releases","n","site-stock","grp"
"1","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1980,16576,1,"Canton Cr:Canton Cr",2
"2","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1981,318509,1,"Canton Cr:Canton Cr",2
"3","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1982,417600,1,"Canton Cr:Canton Cr",2
"4","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1983,1334400,1,"Canton Cr:Canton Cr",2
"5","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1984,876000,1,"Canton Cr:Canton Cr",2
"6","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1985,1052000,1,"Canton Cr:Canton Cr",2
"7","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1986,2787197,1,"Canton Cr:Canton Cr",2
"8","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1987,1773264,1,"Canton Cr:Canton Cr",2
"9","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1988,49480,1,"Canton Cr:Canton Cr",2
"10","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1989,638619,1,"Canton Cr:Canton Cr",2
"11","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1990,960609,1,"Canton Cr:Canton Cr",2
"12","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1991,169014,1,"Canton Cr:Canton Cr",2
"13","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1992,523390,1,"Canton Cr:Canton Cr",2
"14","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1993,1302034,1,"Canton Cr:Canton Cr",2
"15","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1994,1473443,1,"Canton Cr:Canton Cr",2
"16","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1995,1348933,1,"Canton Cr:Canton Cr",2
"17","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1996,692443,1,"Canton Cr:Canton Cr",2
"18","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1997,531275,1,"Canton Cr:Canton Cr",2
"19","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1998,1482895,1,"Canton Cr:Canton Cr",2
"20","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",1999,1340117,1,"Canton Cr:Canton Cr",2
"21","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2000,1071147,1,"Canton Cr:Canton Cr",2
"22","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2001,1009746,1,"Canton Cr:Canton Cr",2
"23","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2002,1070539,1,"Canton Cr:Canton Cr",2
"24","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2003,892140,1,"Canton Cr:Canton Cr",2
"25","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2004,484570,1,"Canton Cr:Canton Cr",2
"26","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2005,679554,1,"Canton Cr:Canton Cr",2
"27","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2006,434449,1,"Canton Cr:Canton Cr",2
"28","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2007,133731,1,"Canton Cr:Canton Cr",2
"29","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2008,47846,1,"Canton Cr:Canton Cr",2
"30","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2009,418655,1,"Canton Cr:Canton Cr",2
"31","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2010,854548,1,"Canton Cr:Canton Cr",2
"32","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2011,646203,1,"Canton Cr:Canton Cr",2
"33","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2012,365682,1,"Canton Cr:Canton Cr",2
"34","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2013,116757,1,"Canton Cr:Canton Cr",2
"35","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2014,1009478,1,"Canton Cr:Canton Cr",2
"36","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2015,200646,1,"Canton Cr:Canton Cr",2
"37","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2016,576649,1,"Canton Cr:Canton Cr",2
"38","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Cr","Conuma River H","Fed Fry",2019,511748,1,"Canton Cr:Canton Cr",3
"39","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Canton Cr","Conuma River H","Fed Fry",2018,203990,1,"Canton Cr:Conuma R",4
"40","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Canton Cr","Conuma River H","Fed Fry",2020,465434,1,"Canton Cr:Conuma R",5
"41","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Canton Cr","Canton Est","Canton Estuary Seapen","Seapen",2017,835191,1,"Canton Est:Canton Cr",6
"42","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",1985,198001,2,"Conuma Est:Conuma R",7
"43","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",1990,300000,1,"Conuma Est:Conuma R",8
"44","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",1991,992742,1,"Conuma Est:Conuma R",8
"45","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",1992,1554359,1,"Conuma Est:Conuma R",8
"46","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",1993,2005494,1,"Conuma Est:Conuma R",8
"47","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",1994,2137724,1,"Conuma Est:Conuma R",8
"48","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",1995,4255121,2,"Conuma Est:Conuma R",8
"49","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",1997,2979021,1,"Conuma Est:Conuma R",9
"50","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",1998,4084369,1,"Conuma Est:Conuma R",9
"51","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2003,1792758,1,"Conuma Est:Conuma R",10
"52","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2004,1585534,1,"Conuma Est:Conuma R",10
"53","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2005,1882230,1,"Conuma Est:Conuma R",10
"54","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2006,914381,1,"Conuma Est:Conuma R",10
"55","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2007,1455119,1,"Conuma Est:Conuma R",10
"56","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2008,271820,1,"Conuma Est:Conuma R",10
"57","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2009,1011562,1,"Conuma Est:Conuma R",10
"58","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2010,1814475,1,"Conuma Est:Conuma R",10
"59","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2011,1794205,1,"Conuma Est:Conuma R",10
"60","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2012,1270286,1,"Conuma Est:Conuma R",10
"61","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2013,785682,1,"Conuma Est:Conuma R",10
"62","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2014,1705633,1,"Conuma Est:Conuma R",10
"63","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2015,1465538,1,"Conuma Est:Conuma R",10
"64","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2016,723867,1,"Conuma Est:Conuma R",10
"65","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2017,1932540,1,"Conuma Est:Conuma R",10
"66","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2018,1624825,1,"Conuma Est:Conuma R",10
"67","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2019,1679255,1,"Conuma Est:Conuma R",10
"68","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma Est","Conuma Estuary Seapen","Seapen",2020,1477237,1,"Conuma Est:Conuma R",10
"69","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R Up","Conuma River H","Fed Fry",1986,3033001,1,"Conuma R Up:Conuma R",11
"70","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Eyed Egg",2010,7762,2,"Conuma R:Conuma R",12
"71","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1979,813100,1,"Conuma R:Conuma R",13
"72","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1980,481599,1,"Conuma R:Conuma R",13
"73","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1981,3469972,3,"Conuma R:Conuma R",13
"74","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1982,4081000,2,"Conuma R:Conuma R",13
"75","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1983,5214000,2,"Conuma R:Conuma R",13
"76","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1984,4546000,1,"Conuma R:Conuma R",13
"77","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1985,6684696,40,"Conuma R:Conuma R",13
"78","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1986,4271000,1,"Conuma R:Conuma R",13
"79","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1987,5418247,2,"Conuma R:Conuma R",13
"80","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1988,5129063,1,"Conuma R:Conuma R",13
"81","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1989,5708494,2,"Conuma R:Conuma R",13
"82","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1990,6028318,3,"Conuma R:Conuma R",13
"83","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1991,5907449,2,"Conuma R:Conuma R",13
"84","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1992,4662499,1,"Conuma R:Conuma R",13
"85","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1993,3955811,1,"Conuma R:Conuma R",13
"86","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1994,3253437,1,"Conuma R:Conuma R",13
"87","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1995,2355127,2,"Conuma R:Conuma R",13
"88","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1996,1981768,1,"Conuma R:Conuma R",13
"89","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1997,735637,1,"Conuma R:Conuma R",13
"90","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Vanc Is West (Gold R) Sch","Fed Fry",1997,80,1,"Conuma R:Conuma R",14
"91","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1998,981722,1,"Conuma R:Conuma R",14
"92","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",1999,1105067,1,"Conuma R:Conuma R",14
"93","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2000,525964,1,"Conuma R:Conuma R",14
"94","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2001,543511,2,"Conuma R:Conuma R",14
"95","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2002,569118,1,"Conuma R:Conuma R",14
"96","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2010,18847,1,"Conuma R:Conuma R",15
"97","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2015,410214,1,"Conuma R:Conuma R",16
"98","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2016,534334,1,"Conuma R:Conuma R",16
"99","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2017,424032,1,"Conuma R:Conuma R",16
"100","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2018,471129,1,"Conuma R:Conuma R",16
"101","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2019,563431,1,"Conuma R:Conuma R",16
"102","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Conuma R","Conuma R","Conuma River H","Fed Fry",2020,491912,1,"Conuma R:Conuma R",16
"103","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Sucwoa R","Conuma R","Conuma River H","Unfed",1999,300000,1,"Conuma R:Sucwoa R",17
"104","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1984,6114000,2,"Deserted R/NWVI:Deserted R/NWVI",18
"105","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1988,3054578,1,"Deserted R/NWVI:Deserted R/NWVI",19
"106","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1990,4018084,1,"Deserted R/NWVI:Deserted R/NWVI",20
"107","Chum","SOUTHWEST VANCOUVER ISLAND","CM-10","Deserted R/NWVI","Deserted R/NWVI","Conuma River H","Fed Fry",1991,1365048,1,"Deserted R/NWVI:Deserted R/NWVI",20
